round,accuracy,macro_f1,weighted_f1,fpr
1,0.992731,0.722573,0,0
2,0.993378,0.68873,0,0
3,0.991633,0.58127,0,0
4,0.993133,0.644209,0,0
5,0.99234,0.591561,0,0
6,0.993062,0.627681,0,0
7,0.993148,0.588563,0,0
8,0.992828,0.587891,0,0
9,0.992981,0.57874,0,0
10,0.993021,0.579371,0,0
11,0.993055,0.589228,0,0
12,0.992955,0.582241,0,0
13,0.992224,0.581612,0,0
14,0.992898,0.580197,0,0
15,0.993176,0.582046,0,0
16,0.993338,0.580887,0,0
17,0.992498,0.578472,0,0
18,0.993333,0.582714,0,0
19,0.993043,0.545899,0,0
20,0.992938,0.546366,0,0
21,0.993145,0.547374,0,0
22,0.993152,0.548722,0,0
23,0.992352,0.539632,0,0
24,0.993245,0.546331,0,0
25,0.992017,0.540714,0,0
26,0.992421,0.541267,0,0
27,0.99314,0.547737,0,0
28,0.992802,0.546955,0,0
29,0.992502,0.545954,0,0
30,0.993269,0.543765,0,0
