round,accuracy,macro_f1,weighted_f1,fpr
1,0.991895,0.672195,0,0
2,0.992831,0.684195,0,0
3,0.99165,0.610128,0,0
4,0.992467,0.58796,0,0
5,0.99215,0.59266,0,0
6,0.993248,0.627845,0,0
7,0.993202,0.588838,0,0
8,0.992695,0.588392,0,0
9,0.993007,0.583117,0,0
10,0.992669,0.579175,0,0
11,0.987643,0.59581,0,0
12,0.947328,0.541757,0,0
13,0.959659,0.560022,0,0
14,0.992124,0.581439,0,0
15,0.957221,0.559666,0,0
16,0.951002,0.549874,0,0
17,0.947309,0.544075,0,0
18,0.95053,0.505796,0,0
19,0.984895,0.542799,0,0
20,0.94748,0.501997,0,0
21,0.953573,0.51787,0,0
22,0.981857,0.542979,0,0
23,0.951323,0.509442,0,0
24,0.984309,0.542931,0,0
25,0.982416,0.535151,0,0
26,0.949735,0.505886,0,0
27,0.977959,0.539888,0,0
28,0.971188,0.535088,0,0
29,0.9849,0.542143,0,0
30,0.947878,0.507557,0,0
